name,tx,ty,tz,rx,ry,rz,pos_err,mode,status,pass
target_15,-0.212,-0.212,0.2,-0.21267963340851784,-0.21221874182336398,0.20217190004253927,0.002452,full_pose,ok,True
target_19,-0.065,-0.241,0.4,-0.0688375408531324,-0.23549450159205326,0.3953770652630149,0.008199,full_pose,ok,True
target_03,0.125,0.217,0.15,0.12362165559406468,0.21707135700925445,0.14974647340017216,0.001536,full_pose,ok,True
target_08,-0.346,-0.2,0.25,-0.34573997820835656,-0.2001781725099493,0.2501564982853549,0.000352,full_pose,ok,True
target_10,0.0,-0.4,0.25,-2.17803068114906e-06,-0.4000660526139941,0.2502493051803474,0.000258,full_pose,ok,True
target_18,-0.241,0.065,0.4,-0.24104576859271418,0.0648469426183271,0.4005927326637186,0.000722,full_pose,ok,True
target_05,-0.125,0.217,0.15,-0.12461087855434215,0.21635809959902,0.14994965017163972,0.000752,full_pose,ok,True
target_12,0.346,-0.2,0.25,0.34653169248188964,-0.1983842277073267,0.2502183048911618,0.001939,full_pose,ok,True
target_14,-0.212,0.212,0.2,-0.20857821026129034,0.2132178692027446,0.20388769351966252,0.005312,full_pose,ok,True
target_09,-0.125,-0.217,0.15,-0.12889909593284757,-0.2085089814010328,0.15237621402561777,0.009757,full_pose,ok,True
target_02,0.346,0.2,0.25,0.34630188261308226,0.19718274660480162,0.25200471674973735,0.003479,full_pose,ok,True
target_13,0.212,0.212,0.2,0.21070143161873864,0.21061641851940296,0.19983888751434636,0.001987,full_pose,ok,True
target_07,-0.25,0.0,0.15,-0.25089043199184907,8.886282026314814e-05,0.14956750510861308,0.001121,full_pose,ok,True
target_11,0.125,-0.217,0.15,0.12321199160968666,-0.2164096476606018,0.14994703374593724,0.001986,full_pose,ok,True
target_01,0.25,0.0,0.15,0.24832028461196196,-0.0011252154861583301,0.1553128146110575,0.005715,full_pose,ok,True
target_06,-0.346,0.2,0.25,-0.3461091900974299,0.19856187288889932,0.25053252347574795,0.001939,full_pose,ok,True
target_04,0.0,0.4,0.25,-1.9750718340727415e-06,0.4002138951348107,0.25021315179531267,0.000302,full_pose,ok,True
target_17,0.065,0.241,0.4,0.0649281763711169,0.24068944721728347,0.40010910833235575,0.000337,full_pose,ok,True
target_16,0.212,-0.212,0.2,0.2130573938455955,-0.21303131172674045,0.20139261572122547,0.002150,full_pose,ok,True
target_20,0.241,-0.065,0.4,0.24242056787964766,-0.0648097719370884,0.3963245059927675,0.004225,full_pose,ok,True
